Input.title,Input.body,Answer.Confidence,Unnamed: 3,Answer.reason for confidence rating,Answer.answer,rating,type of answer,Unnamed: 8,1: not related,emotional
Anyone have Skype?,"Well, like the subject says, anyone have Skype and are they up to talking to other people?

I know that it doesn't really seem like it would go hand-in-hand with Autism, but perhaps it might be another way for people with Autism to communicate with each other and just hang out and talk. And who knows, perhaps it might help in being sociable with other people.",Somewhat confident,,,Phone conversations can be difficult even for people not on the spectrum! But setting up some regular conversation times seems like a helpful and fun idea.,,,,,
Anyone have Skype?,"Well, like the subject says, anyone have Skype and are they up to talking to other people?

I know that it doesn't really seem like it would go hand-in-hand with Autism, but perhaps it might be another way for people with Autism to communicate with each other and just hang out and talk. And who knows, perhaps it might help in being sociable with other people.",Somewhat confident,,,"skype is a good tool for interaction with those that are far away and distant. i personally used skype and i hated it. i preferred the sticking to texting the person. In your case, i think it would work great. I would start off by spreading the word on social media in groups on facebook that deal with autism. that would eliminate anyone who shouldnt be there and help the whole skype experience be better because you are a group of people who are looking to take advantage of technology while helping members cope with certain fears that they may have with social interacton. i say start a group spread the word in facebook groups dealing with same issues and watch it grow from there and watch the friends come in.",,,,,
Anyone have Skype?,"Well, like the subject says, anyone have Skype and are they up to talking to other people?

I know that it doesn't really seem like it would go hand-in-hand with Autism, but perhaps it might be another way for people with Autism to communicate with each other and just hang out and talk. And who knows, perhaps it might help in being sociable with other people.",Very confident,,Experience with Skype,I definitely think that utilizing Skype for other people with autism is a great idea.  I am a huge supporter of any type of group or organization that brings people closer together.  Forming a Skype group for Autism sounds like a lot of fun!  You will be able to meet different people with the same condition from all over the world.,,,,,
Anyone have Skype?,"Well, like the subject says, anyone have Skype and are they up to talking to other people?

I know that it doesn't really seem like it would go hand-in-hand with Autism, but perhaps it might be another way for people with Autism to communicate with each other and just hang out and talk. And who knows, perhaps it might help in being sociable with other people.",Somewhat confident,,,"Rather than skype, a website called compassionpit.com allows for annonymous talking/listening to others problems so as to allow you to receive some calm and collected support, or help someone else possibly in the same position.",,,,,
Anyone have Skype?,"Well, like the subject says, anyone have Skype and are they up to talking to other people?

I know that it doesn't really seem like it would go hand-in-hand with Autism, but perhaps it might be another way for people with Autism to communicate with each other and just hang out and talk. And who knows, perhaps it might help in being sociable with other people.",Somewhat confident,,Skype is so popular and widely distributed that i feel it is safe to assume that most people have or have knowledge of Skype.,"Yes, i do and so do many others, especially since Skype is now owned by Microsoft and comes pre-installed on many devices.",,,,,
"Dr Who, is he Autistic?","I watch Dr Who each week and I keep picking out typical characteristics of the doctor that are traits of autism. He appears to be very extravagant, takes things literally and surprises people when he bumbles on about some kind of alien technology. This seemed especially clear with this weeks episode with James Corden. 
Do you think the character The Doctor is autistic? He is certainly on the ""another forum"". 
PS. He is called The Doctor, not Dr Who. If you refer to him as Dr Who I can guarantee the following post will be a correction, simply because we all enjoy correcting people so much!",Somewhat confident,,,"The Doctor is whoever you want him to be! I think there is a real power in identifying with seemingly neuroatypical characters in media. On the other hand, he is a genocidal alien whose entire home civilization has been destroyed, so it's best not to consider his situation to be too close to yours-- but you know that! You are yourself in ways he is not.",,,,,
"Dr Who, is he Autistic?","I watch Dr Who each week and I keep picking out typical characteristics of the doctor that are traits of autism. He appears to be very extravagant, takes things literally and surprises people when he bumbles on about some kind of alien technology. This seemed especially clear with this weeks episode with James Corden. 
Do you think the character The Doctor is autistic? He is certainly on the ""another forum"". 
PS. He is called The Doctor, not Dr Who. If you refer to him as Dr Who I can guarantee the following post will be a correction, simply because we all enjoy correcting people so much!",Very confident,,,I have followed Dr. Who since the beginning. He is not autistic. He does not display enough signs for the ailment.,,,,"3: Related, but cannot trust the answer source, or solely focus on personal experience",instrumental
"Dr Who, is he Autistic?","I watch Dr Who each week and I keep picking out typical characteristics of the doctor that are traits of autism. He appears to be very extravagant, takes things literally and surprises people when he bumbles on about some kind of alien technology. This seemed especially clear with this weeks episode with James Corden. 
Do you think the character The Doctor is autistic? He is certainly on the ""another forum"". 
PS. He is called The Doctor, not Dr Who. If you refer to him as Dr Who I can guarantee the following post will be a correction, simply because we all enjoy correcting people so much!",Slightly confident,,I have personal experience with a child with autism,"Based on personal experience, extravagant and talkative are not traits of autism.  He has a very slight case at best",,,,,
"Dr Who, is he Autistic?","I watch Dr Who each week and I keep picking out typical characteristics of the doctor that are traits of autism. He appears to be very extravagant, takes things literally and surprises people when he bumbles on about some kind of alien technology. This seemed especially clear with this weeks episode with James Corden. 
Do you think the character The Doctor is autistic? He is certainly on the ""another forum"". 
PS. He is called The Doctor, not Dr Who. If you refer to him as Dr Who I can guarantee the following post will be a correction, simply because we all enjoy correcting people so much!",Somewhat confident,,,no its not autism its only something which is not to fear,,,,,
"Dr Who, is he Autistic?","I watch Dr Who each week and I keep picking out typical characteristics of the doctor that are traits of autism. He appears to be very extravagant, takes things literally and surprises people when he bumbles on about some kind of alien technology. This seemed especially clear with this weeks episode with James Corden. 
Do you think the character The Doctor is autistic? He is certainly on the ""another forum"". 
PS. He is called The Doctor, not Dr Who. If you refer to him as Dr Who I can guarantee the following post will be a correction, simply because we all enjoy correcting people so much!",Somewhat confident,,,I agree to some extent that Dr. is an autistic,,,,,
